Original_Author_Name,PI_NAME,Record_ID,Retraction_Year,Grant_ID,Fiscal_Year,Funding_Amount,diff_retracted
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,K08HL086671,2009,120543.0,-2
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,K08HL086671,2010,120543.0,-1
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,K08HL086671,2011,120543.0,0
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,K08HL086671,2012,120663.0,1
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,K08HL086671,2013,120663.0,2
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,R01HL126711,2015,385000.0,4
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,R01HL126711,2016,385000.0,5
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,R01HL126711,2017,385000.0,6
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,R01HL126711,2017,16382.0,6
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,R01HL126711,2018,401500.0,7
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,R01HL126711,2019,401526.0,8
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,R21DA061414,2024,238500.0,13
A Murat Kaynar,"KAYNAR, A. MURAT",3522,2011,R21DA061414,2025,198750.0,14
A Razzaque Ahmed,"AHMED, A. RAZZAQUE",1580,2014,R01EY008379,1990,248689.0,-24
A Razzaque Ahmed,"AHMED, A. RAZZAQUE",1580,2014,R01DE009978,1991,374163.0,-23
A Razzaque Ahmed,"AHMED, A. RAZZAQUE",1580,2014,R01EY008379,1991,231273.0,-23
A Razzaque Ahmed,"AHMED, A. RAZZAQUE",1580,2014,R01DE009978,1992,396191.0,-22
A Razzaque Ahmed,"AHMED, A. RAZZAQUE",1580,2014,R01EY008379,1992,206299.0,-22
A Razzaque Ahmed,"AHMED, A. RAZZAQUE",1580,2014,R01DE009978,1993,298850.0,-21
A Razzaque Ahmed,"AHMED, A. RAZZAQUE",1580,2014,R01EY008379,1993,230866.0,-21
A Razzaque Ahmed,"AHMED, A. RAZZAQUE",1580,2014,R01EY008379,1993,230866.0,-21
A Razzaque Ahmed,"AHMED, A. RAZZAQUE",1580,2014,R01EY008379,1994,249148.0,-20
A Razzaque Ahmed,"AHMED, A. RAZZAQUE",1580,2014,R01EY008379,1995,292796.0,-19
