Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes,Unnamed: 20,PubMed_ID,Study_Design,Funding_Info,Funding_Info_cleaned,Individual_NIH_Grant_Costs,Total_NIH_Funding_Cost
70742.0,"Fusion breeding for mid-century, sustainable, carbon free power",(PHY) Energy;(PHY) Physics;,"Retired from US Naval Research Laboratory, USA;",Heliyon,Elsevier - Cell Press,United States,Wallace Manheimer,,Research Article;,1/5/2026 0:00,10.1016/j.heliyon.2025.e44482,0.0,9/14/2020 0:00,10.1016/j.heliyon.2020.e04923,32984613.0,Retraction,Concerns/Issues about Referencing/Attributions;Duplication of/in Article;Euphemisms for Duplication;Investigation by Journal/Publisher;Objections by Author(s);,No,,,32984613,Journal Article,,,,0.0
70677.0,Vaccines and sudden infant death: An analysis of the VAERS database 1990–2019 and review of the medical literature,(HSC) Medicine - Immunology;(HSC) Medicine - Pediatrics;,"Institute of Medical and Scientific Inquiry, Santa Fe, New Mexico, 87506, USA;",Toxicology Reports,Elsevier,United States,Neil Z Miller,https://retractionwatch.com/2026/05/26/elsevier-retracts-study-tying-sudden-infant-death-syndrome-to-vaccinations/,Research Article;,4/9/2026 0:00,10.1016/j.toxrep.2026.102250,0.0,6/28/2021 0:00,10.1016/j.toxrep.2021.06.020,34258234.0,Retraction,Concerns/Issues about Methods;Concerns/Issues about Results and/or Conclusions;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Author(s);Removed;Unreliable Results and/or Conclusions;,No,see also: https://pubpeer.com/publications/C02A9C1F937150E44015877641F4F9,,34258234,Journal Article,,,,0.0
70655.0,Extension of simple multi-attribute rating technique in uncertainty environment for 5G industry evaluation: Egyptian new administrative capital as a case study,(B/T) Business - Management;(B/T) Technology;,"Faculty of Computers and Informatics, Zagazig University, Zagazig 44519, Sharqiyah, Egypt; Department of Computational Mathematics, Science, and Engineering (CMSE), College of Engineering, Michigan State University, East Lansing, MI 48824, USA; Department of Mathematics, Faculty of Science, Mansoura University, Mansoura 35516, Egypt; Department of Statistics and Operations Research, College of Science, King Saud University, P.O. Box 2455, Riyadh 11451, Saudi Arabia;",Heliyon,Elsevier - Cell Press,Egypt;Saudi Arabia;United States,Mai Mohamed;Ahmed M Ali;Mohamed Abdel-Basset;Mohamed Abouhawwash;S S Askar;Alshaimaa A Tantawy,,Case Report;,1/22/2026 0:00,10.1016/j.heliyon.2026.e44549,0.0,4/1/2024 0:00,10.1016/j.heliyon.2024.e29033,38601591.0,Retraction,Computer-Aided Content or Computer-Generated Content;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,No,,,38601591,Journal Article,,,,0.0
70642.0,"Longitudinal Data From the KETO-CTA Study: Plaque Predicts Plaque, ApoB Does Not",(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Cardiovascular;(HSC) Medicine - Pathology;,"Metabolic Diseases Research Unit, National Institute for Medical Sciences and Nutrition Salvador Zubiran, Mexico City, Mexico; Tecnologico de Monterrey, School of Medicine, Mexico City, Mexico; Harvard Medical School Boston, Massachusetts, USA; Lundquist Institute at Harbor-UCLA Medical Center, Torrance, California, USA; Department of Pediatrics, University of Washington School of Medicine, Washington, USA; Cleerly, New York, New York, USA; Citizen Science Foundation, Las Vegas, Nevada, USA;",JACC: Advances,Elsevier,Mexico;United States,Adrian Soto-Mota;Nicholas G Norwitz;Venkat S Manubolu;April Kinninger;Thomas R Wood;James Earls;David Feldman;Matthew Budoff,,Research Article;,3/11/2026 0:00,10.1016/j.jacadv.2025.101686,0.0,4/7/2025 0:00,10.1016/j.jacadv.2025.101686,40192608.0,Retraction,Concerns/Issues about Methods;Unreliable Data;Upgrade/Update of Prior Notice(s);,No,,,40192608,Journal Article,,,,0.0
70639.0,"Sources, effects and present perspectives of heavy metals contamination: Soil, plants and human food chain",(BLS) Agriculture;(ENV) Environmental Sciences;(HSC) Public Health and Safety;,"Faculty of Agriculture, Bangladesh Agricultural University, Mymensingh, 2202, Bangladesh; Institute of Agriculture and Animal Science, Tribhuwan University, Nepal; Department of Plant Sciences and Plant Pathology, Faculty of Plant Science, Montana State University, Bozeman, MT, USA;",Heliyon,Elsevier - Cell Press,Bangladesh;Nepal;United States,Prodipto Bishnu Angon;Md Shafiul Islam;Shreejana KC;Arpan Das;Nafisa Anjum;Amrit Poudel;Shaharia Akter Suchi,,Review Article;,1/22/2026 0:00,10.1016/j.heliyon.2026.e44556,0.0,3/23/2024 0:00,10.1016/j.heliyon.2024.e28357,38590838.0,Retraction,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,No,,,38590838,Journal Article; Review,,,,0.0
70612.0,"Targeted delivery of 5-fluorouracil, miR-532-3p, and si-KRAS to the colorectal tumor using layer-by-layer liposomes",(BLS) Biochemistry;(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;,"Department of Clinical Biochemistry, School of Medicine, Shahid Sadoughi University of Medical Sciences and Health Services, Yazd, Iran; Department of Clinical Biochemistry, Faculty of Medical Sciences, Tarbiat Modares University, Tehran, Iran; Medical Nanotechnology and Tissue Engineering Research Center, Yazd Reproductive Sciences Institute, Shahid Sadoughi University of Medical Sciences, Yazd, Iran; Department of Advanced Technologies, School of Medicine, North Khorasan University of Medical Sciences, Bojnūrd, Iran; Natural Products and Medicinal Plants Research Center, North Khorasan University of Medical Sciences, Bojnurd, Iran; Department of Psychology, University of New Mexico, Albuquerque, NM, United States;",Frontiers in Bioengineering and Biotechnology,Frontiers,Iran;United States,Maryamsadat Shahidi;Omid Abazari;Parisa Dayati;Bibi Fatemeh Haghiralsadat;Fatemeh Oroojalian;Davood Tofighi,,Research Article;,8/22/2024 0:00,10.3389/fbioe.2024.1478182,39239256.0,10/17/2022 0:00,10.3389/fbioe.2022.1013541,36324898.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Image;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Author(s);Unreliable Results and/or Conclusions;,No,see also: https://pubpeer.com/publications/77E5C3BA68C0CF138DB653D1D66B75,,36324898,Journal Article; Retracted Publication,,,,0.0
70609.0,Cesium therapy in cancer patients,(HSC) Medicine - Oncology;(HSC) Medicine - Rehabilitation/Therapy;,"Life Science Universal Medical Center, Suite 306 4501 Connecticut Avenue, Washington, DC 20008, USA",Pharmacology Biochemistry and Behavior,Elsevier,United States,Hellfried E Sartori,,Research Article;,4/23/2026 0:00,10.1016/0091-3057(84)90154-0,0.0,6/1/1984 0:00,10.1016/0091-3057(84)90154-0,6522427.0,Retraction,Date of Article and/or Notice Unknown;Removed;Unreliable Results and/or Conclusions;,No,"date of reraction unknown, htm page overwrite, date estimated from notificaitons;Hellfried E Sartori aka H E Sartori; H E Sartori, medical license revoked and has cnvictions for practicing medicine without a license;",,6522427,Journal Article,,,,0.0
70608.0,The high pH therapy for cancer tests on mice and humans,(BLS) Biochemistry;(BLS) Biology - Cancer;,"Science Department, A. Keith Brewer Library, Richland Center, WI 53581, USA;",Pharmacology Biochemistry and Behavior,Elsevier,United States,A Keith Brewer,,Research Article;,4/23/2026 0:00,10.1016/0091-3057(84)90152-7,0.0,6/1/1984 0:00,10.1016/0091-3057(84)90152-7,6522424.0,Retraction,Date of Article and/or Notice Unknown;Removed;Unreliable Results and/or Conclusions;,No,"date of retraction unknown, html page overwrite, date taken from modification date on pdf;",,6522424,Journal Article,,,,0.0
70600.0,Improving healthcare workforce diversity,(B/T) Business - Management;(HSC) Medicine - General;,"Department of Medical Ethics and Health Policy, Perelman School of Medicine, University of Pennsylvania, Watkinsville, GA, United States;",Frontiers in Health Services,Frontiers,United States,Yang Zou,,Research Article;,10/16/2024 0:00,10.3389/frhs.2024.1508057,39478849.0,2/13/2023 0:00,10.3389/frhs.2023.1082261,36926500.0,Retraction,Concerns/Issues about Article;Investigation by Journal/Publisher;,No,,,36926500,Journal Article; Retracted Publication,,,,0.0
70578.0,Propranolol to decrease time to delivery: a meta-analysis of randomized controlled trials,(HSC) Medicine - Obstetrics/Gynecology;(HSC) Medicine - Pharmacology;,"Department of Obstetrics and Gynecology, Monmouth Medical Center, Long Branch, NJ; Sidney Kimmel Medical College at Thomas Jefferson University, Philadelphia, PA; Division of Maternal Fetal Medicine, Department of Obstetrics and Gynecology, Eastern Virginia Medical School, Norfolk, VA; Division of Maternal Fetal Medicine, Department of Obstetrics and Gynecology, Sidney Kimmel Medical College at Thomas Jefferson University, Philadelphia, PA;",American Journal of Obstetrics & Gynecology MFM,Elsevier,United States,Sonia Biswas;Mariella Toro;Rebecca Horgan;Rodney A McLaren;Vincenzo Berghella;Huda B Al-Kouatly,,Meta-Analysis;,5/5/2026 0:00,10.1016/j.ajogmf.2025.101679,42091286.0,9/3/2024 0:00,10.1016/j.ajogmf.2024.101459,39117277.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Error in Results and/or Conclusions;Investigation by Third Party;Retract and Replace;,No,see also: https://www.ajogmfm.org/article/S2589-9333(25)00034-5/abstract; see: linkinghub.elsevier.com/retrieve/pii/S2589-9333(25)00105-3,,39117277,Journal Article; Meta-Analysis; Systematic Review; Retracted Publication,,,,0.0
