Fiscal_Year,CPI,Inflation_Multiplier,fetched_at
1947,22.331666666666667,14.692753190536608,2026-04-30T16:06:38Z
1948,24.045,13.645816871144381,2026-04-30T16:06:38Z
1949,23.809166666666666,13.780980714710722,2026-04-30T16:06:38Z
1950,24.0625,13.635892640692642,2026-04-30T16:06:38Z
1951,25.973333333333333,12.632713039014375,2026-04-30T16:06:38Z
1952,26.566666666666666,12.350577164366374,2026-04-30T16:06:38Z
1953,26.768333333333334,12.257530664342196,2026-04-30T16:06:38Z
1954,26.865,12.213425150443577,2026-04-30T16:06:38Z
1955,26.795833333333334,12.244951018504121,2026-04-30T16:06:38Z
1956,27.190833333333334,12.06706917159582,2026-04-30T16:06:38Z
1957,28.113333333333333,11.671105050984112,2026-04-30T16:06:38Z
1958,28.88083333333333,11.360948726087084,2026-04-30T16:06:38Z
1959,29.150000000000002,11.256043453401944,2026-04-30T16:06:38Z
1960,29.584999999999997,11.09054137795054,2026-04-30T16:06:38Z
1961,29.901666666666667,10.973089571372833,2026-04-30T16:06:38Z
1962,30.253333333333334,10.845537681798149,2026-04-30T16:06:38Z
1963,30.633333333333336,10.711001088139282,2026-04-30T16:06:38Z
1964,31.03833333333333,10.571239864683458,2026-04-30T16:06:38Z
1965,31.528333333333332,10.406946133107787,2026-04-30T16:06:38Z
1966,32.47083333333333,10.104873604516875,2026-04-30T16:06:38Z
1967,33.375,9.831121098626717,2026-04-30T16:06:38Z
1968,34.791666666666664,9.430811976047906,2026-04-30T16:06:38Z
1969,36.68333333333333,8.944488868696048,2026-04-30T16:06:38Z
1970,38.84166666666667,8.447466208968033,2026-04-30T16:06:38Z
1971,40.483333333333334,8.104907369287773,2026-04-30T16:06:38Z
1972,41.80833333333333,7.848044648196134,2026-04-30T16:06:38Z
1973,44.425000000000004,7.385788782592384,2026-04-30T16:06:38Z
1974,49.31666666666666,6.653200405542414,2026-04-30T16:06:38Z
1975,53.824999999999996,6.0959343551633385,2026-04-30T16:06:38Z
1976,56.93333333333334,5.763120608899297,2026-04-30T16:06:38Z
1977,60.61666666666667,5.412928237558428,2026-04-30T16:06:38Z
1978,65.24166666666666,5.029204240643761,2026-04-30T16:06:38Z
1979,72.58333333333333,4.520509758897819,2026-04-30T16:06:38Z
1980,82.38333333333334,3.982767550070807,2026-04-30T16:06:38Z
1981,90.93333333333334,3.6082881231671555,2026-04-30T16:06:38Z
1982,96.53333333333335,3.398967541436464,2026-04-30T16:06:38Z
1983,99.58333333333333,3.2948652719665277,2026-04-30T16:06:38Z
1984,103.93333333333334,3.1569627966645286,2026-04-30T16:06:38Z
1985,107.60000000000001,3.0493835192069394,2026-04-30T16:06:38Z
1986,109.69166666666666,2.991236040416319,2026-04-30T16:06:38Z
1987,113.61666666666667,2.8879008361449316,2026-04-30T16:06:38Z
1988,118.27499999999999,2.7741590925103927,2026-04-30T16:06:38Z
1989,123.94166666666666,2.6473233375916094,2026-04-30T16:06:38Z
1990,130.65833333333333,2.5112341348300276,2026-04-30T16:06:38Z
1991,136.16666666666666,2.4096474908200736,2026-04-30T16:06:38Z
1992,140.30833333333334,2.338518738492606,2026-04-30T16:06:38Z
1993,144.475,2.271075733979351,2026-04-30T16:06:38Z
1994,148.225,2.213618935177377,2026-04-30T16:06:38Z
1995,152.38333333333333,2.1532122935579134,2026-04-30T16:06:38Z
1996,156.85833333333332,2.0917834564097118,2026-04-30T16:06:38Z
1997,160.525,2.04400353008358,2026-04-30T16:06:38Z
1998,163.00833333333333,2.012864372987066,2026-04-30T16:06:38Z
1999,166.58333333333334,1.9696668334167085,2026-04-30T16:06:38Z
2000,172.1916666666667,1.905514204132991,2026-04-30T16:06:38Z
2001,177.04166666666666,1.8533132501765124,2026-04-30T16:06:38Z
2002,179.86666666666667,1.824204966641957,2026-04-30T16:06:38Z
2003,184.0,1.7832264492753624,2026-04-30T16:06:38Z
2004,188.90833333333333,1.736893555075213,2026-04-30T16:06:38Z
2005,195.26666666666665,1.680336292249915,2026-04-30T16:06:38Z
2006,201.5583333333333,1.6278844007111262,2026-04-30T16:06:38Z
2007,207.34416666666667,1.5824591158822088,2026-04-30T16:06:38Z
2008,215.25424999999998,1.5243074952836784,2026-04-30T16:06:38Z
2009,214.56466666666665,1.5292064241704912,2026-04-30T16:06:38Z
2010,218.0761666666667,1.504582878917687,2026-04-30T16:06:38Z
2011,224.923,1.4587821906459841,2026-04-30T16:06:38Z
2012,229.58608333333333,1.4291531172221894,2026-04-30T16:06:38Z
2013,232.95174999999998,1.408504837017394,2026-04-30T16:06:38Z
2014,236.715,1.386112695294623,2026-04-30T16:06:38Z
2015,237.00175000000002,1.3844356282882582,2026-04-30T16:06:38Z
2016,240.00541666666666,1.3671094228776088,2026-04-30T16:06:38Z
2017,245.121,1.33857836197905,2026-04-30T16:06:38Z
2018,251.0995,1.3067077659121848,2026-04-30T16:06:38Z
2019,255.65258333333335,1.2834357564024876,2026-04-30T16:06:38Z
2020,258.85575,1.2675540978582345,2026-04-30T16:06:38Z
2021,270.97341666666665,1.2108703159996324,2026-04-30T16:06:38Z
2022,292.62641666666667,1.1212715188335982,2026-04-30T16:06:38Z
2023,304.70300000000003,1.0768311000110489,2026-04-30T16:06:38Z
2024,313.6981666666667,1.045953408504672,2026-04-30T16:06:38Z
2025,321.9619090909091,1.019107097461087,2026-04-30T16:06:38Z
2026,328.1136666666667,1.0,2026-04-30T16:06:38Z
