Original_Author_Name,n_pi_id,n_grant_orgs,aff_match,exclude_consequences
A Murat Kaynar,1,1,TRUE,FALSE
A Razzaque Ahmed,1,4,TRUE,FALSE
A Thomas Look,2,5,TRUE,FALSE
Abass Alavi,4,2,TRUE,FALSE
Abdelhadi Rebbaa,1,2,TRUE,FALSE
Abdelkarim Sabri,1,2,TRUE,FALSE
Abul K Abbas,2,6,TRUE,FALSE
Adam C Savine,1,1,TRUE,FALSE
Adam G Jones,1,1,TRUE,FALSE
Adam Godzik,1,8,TRUE,FALSE
Adam P Spira,1,2,FALSE,FALSE
Adam R Aron,1,1,TRUE,FALSE
Adedayo A Onitilo,1,2,TRUE,FALSE
Adi F Gazdar,1,3,TRUE,FALSE
Adrian E Roitberg,1,3,TRUE,FALSE
Adrian V Lee,1,2,TRUE,FALSE
Adriana Stoica,1,1,TRUE,FALSE
Adrienne G Randolph,1,3,TRUE,FALSE
Afsaneh Rabiei,1,1,TRUE,FALSE
Ahmet Hoke,1,1,TRUE,FALSE
Aihua Li,1,1,FALSE,FALSE
Ajay Kumar,1,1,FALSE,FALSE
Alaa F Badawi,1,1,TRUE,FALSE
Alaa S Awad,1,3,TRUE,FALSE
Alan D Attie,1,5,TRUE,FALSE
Alan D Levine,1,1,TRUE,FALSE
Alan D Poling,1,1,TRUE,FALSE
Alan I Faden,2,4,TRUE,FALSE
Alan P Knutsen,1,1,TRUE,FALSE
Alan Y Sakaguchi,1,1,TRUE,FALSE
Alberto Ascherio,1,4,TRUE,FALSE
Alberto E Pereda,1,7,TRUE,FALSE
Alda Tufro,1,5,TRUE,FALSE
Aleem Siddiqui,3,7,TRUE,FALSE
Alex A Adjei,2,5,TRUE,FALSE
Alex Y Strongin,1,4,TRUE,FALSE
Alexander Neumeister,1,3,TRUE,FALSE
Alexandru S Biris,1,1,TRUE,FALSE
Alfred M Prince,2,1,TRUE,FALSE
Alice E Curran,1,1,TRUE,FALSE
Alice Y Ting,1,4,TRUE,FALSE
Alicia Aleman,1,2,FALSE,FALSE
Alik Farber,1,3,TRUE,FALSE
Alireza Heidari,1,1,FALSE,FALSE
Allan C Wilson,2,1,TRUE,FALSE
Allen C Gao,1,4,TRUE,FALSE
Allison Portnoy,1,1,TRUE,FALSE
Allison R Bialas,1,1,TRUE,FALSE
Allison W Xu,1,1,TRUE,FALSE
Allison W. Xu,1,1,TRUE,FALSE
