Original_Author_Name,Grant_ID,is_collision,keep_consequences
A Murat Kaynar,K08HL086671,FALSE,TRUE
A Murat Kaynar,R01HL126711,FALSE,TRUE
A Murat Kaynar,R21DA061414,FALSE,TRUE
A Razzaque Ahmed,R01DE009978,FALSE,TRUE
A Razzaque Ahmed,R01EY008379,FALSE,TRUE
A Razzaque Ahmed,R01EY014228,FALSE,TRUE
A Thomas Look,P01CA020180,TRUE,TRUE
A Thomas Look,P01CA023099,TRUE,FALSE
A Thomas Look,P01CA066996,TRUE,TRUE
A Thomas Look,P01CA068484,TRUE,TRUE
A Thomas Look,P01CA071907,TRUE,TRUE
A Thomas Look,P01CA109901,TRUE,TRUE
A Thomas Look,P30CA006516,TRUE,TRUE
A Thomas Look,P30CA021765,TRUE,TRUE
A Thomas Look,R01CA059571,TRUE,TRUE
A Thomas Look,R01CA093152,TRUE,TRUE
A Thomas Look,R01CA104605,TRUE,TRUE
A Thomas Look,R01CA119066,TRUE,TRUE
A Thomas Look,R01CA176746,TRUE,TRUE
A Thomas Look,R01CA180692,TRUE,TRUE
A Thomas Look,R01HL088664,TRUE,TRUE
A Thomas Look,R35CA210064,TRUE,TRUE
A Thomas Look,T32CA070089,TRUE,TRUE
Abass Alavi,M01RR000040,TRUE,TRUE
Abass Alavi,N01HR034011,TRUE,TRUE
Abass Alavi,P01AG003934,TRUE,FALSE
Abass Alavi,P01CA085424,TRUE,TRUE
Abass Alavi,P41RR002546,TRUE,TRUE
Abass Alavi,R01AR048241,TRUE,TRUE
Abass Alavi,R01DK063579,TRUE,TRUE
Abass Alavi,R21CA081192,TRUE,TRUE
Abass Alavi,T32CA093258,TRUE,TRUE
Abass Alavi,U54CA105008,TRUE,TRUE
Abdelhadi Rebbaa,R01CA096616,FALSE,TRUE
Abdelkarim Sabri,R01HL076799,FALSE,TRUE
Abdelkarim Sabri,R01HL088626,FALSE,TRUE
Abdelkarim Sabri,R01HL128446,FALSE,TRUE
Abdelkarim Sabri,R01HL139889,FALSE,TRUE
Abdelkarim Sabri,R01HL145177,FALSE,TRUE
Abdelkarim Sabri,R56HL076799,FALSE,TRUE
Abul K Abbas,P01AI035297,TRUE,TRUE
Abul K Abbas,P01AI037963,TRUE,TRUE
Abul K Abbas,R01AI022560,TRUE,TRUE
Abul K Abbas,R01AI022802,TRUE,TRUE
Abul K Abbas,R01AI022827,TRUE,TRUE
Abul K Abbas,R01AI025022,TRUE,TRUE
Abul K Abbas,R01AI032531,TRUE,TRUE
Abul K Abbas,R01AI042100,TRUE,TRUE
Abul K Abbas,R01AI045845,TRUE,TRUE
Abul K Abbas,R01AI064677,TRUE,TRUE
Abul K Abbas,R01AI073656,TRUE,TRUE
Abul K Abbas,R01CA045497,TRUE,TRUE
Abul K Abbas,R13AI075941,TRUE,TRUE
Abul K Abbas,R13AI084162,TRUE,TRUE
Abul K Abbas,R37AI025022,TRUE,TRUE
Abul K Abbas,U09RG011662,TRUE,TRUE
Abul K Abbas,U19AI056388,TRUE,TRUE
Adam C Savine,F31DA032152,FALSE,TRUE
Adam G Jones,F32GM020561,FALSE,TRUE
Adam Godzik,P01GM063208,FALSE,TRUE
Adam Godzik,P20GM076221,FALSE,TRUE
Adam Godzik,P30CA030199,FALSE,TRUE
Adam Godzik,R01GM060049,FALSE,TRUE
Adam Godzik,R01GM087218,FALSE,TRUE
Adam Godzik,R01GM095847,FALSE,TRUE
Adam Godzik,R01GM101457,FALSE,TRUE
Adam Godzik,R35GM118187,FALSE,TRUE
Adam Godzik,U54GM094586,FALSE,TRUE
Adam Godzik,U54GM094610,FALSE,TRUE
Adam Godzik,U54RR020843,FALSE,TRUE
Adam Godzik,UM1AI100663,FALSE,TRUE
Adam P Spira,K01AG033195,FALSE,TRUE
Adam P Spira,R01AG040282,FALSE,TRUE
Adam P Spira,R01AG049872,FALSE,TRUE
Adam P Spira,R01AG050507,FALSE,TRUE
Adam P Spira,R01AG074562,FALSE,TRUE
Adam P Spira,R01AG075883,FALSE,TRUE
Adam P Spira,R01AG075996,FALSE,TRUE
Adam P Spira,R01AG080829,FALSE,TRUE
Adam P Spira,R56AG074496,FALSE,TRUE
Adam P Spira,RF1AG050745,FALSE,TRUE
Adam P Spira,U01AG052445,FALSE,TRUE
Adam R Aron,R01DA026452,FALSE,TRUE
